Date,Open,High,Low,Close
02-Jan-17,8453.89,8464.18,8385.22,8431.5
03-Jan-17,8440.23,8480.63,8403.71,8456.12
04-Jan-17,8462.85,8478.53,8439.09,8448.29
05-Jan-17,8483.94,8543.13,8483.94,8532
06-Jan-17,8554.1,8569.24,8489.81,8498.77
09-Jan-17,8522.67,8526.96,8486.22,8494.11
10-Jan-17,8522.53,8552.25,8520.65,8546.67
11-Jan-17,8573.3,8646.22,8573.3,8636.81
12-Jan-17,8648.39,8681.77,8646.67,8665.05
13-Jan-17,8701.28,8723.95,8636.06,8662.92
16-Jan-17,8663.56,8694.78,8642.54,8681
17-Jan-17,8695.54,8712.31,8650.31,8666.58
18-Jan-17,8674.76,8730.05,8665.89,8683.69
19-Jan-17,8684.52,8712.34,8673.84,8701.7
20-Jan-17,8680.99,8693.03,8609.39,8616.47
23-Jan-17,8606.09,8671.5,8598.18,8656.73
24-Jan-17,8673.81,8746.01,8666.28,8740.36
25-Jan-17,8765.84,8875.8,8761.63,8866.68
27-Jan-17,8881.7,8940.17,8880.77,8908.75
30-Jan-17,8905.64,8926.52,8884.56,8894.42
31-Jan-17,8900.18,8900.18,8804.99,8813.9
01-Feb-17,8820.77,8978.25,8792.56,8972.76
02-Feb-17,8987.41,9018.41,8949.98,8995.88
03-Feb-17,9009.84,9014.4,8968.89,9001.32
06-Feb-17,9037.08,9083.74,9037.08,9067.85
07-Feb-17,9075.41,9079.11,9009.83,9037.94
08-Feb-17,9054.1,9063.62,8987.12,9038.66
09-Feb-17,9053.94,9091.02,8994.59,9051.32
10-Feb-17,9069.77,9091.23,9040.2,9057.72
13-Feb-17,9091.17,9095.78,9023.83,9075.22
14-Feb-17,9086.94,9087.08,9043.9,9065.57
15-Feb-17,9045.68,9077.72,8982.27,8993.92
16-Feb-17,9012.45,9057.56,8991.18,9051.84
17-Feb-17,9154.2,9172.69,9089.02,9105.2
20-Feb-17,9111.49,9169.46,9092.28,9161.85
21-Feb-17,9178.55,9213.64,9151.13,9201.58
22-Feb-17,9219.88,9254.86,9200.95,9219.59
23-Feb-17,9234.71,9275.95,9214.31,9223.76
27-Feb-17,9227.67,9238.72,9180.31,9187.07
28-Feb-17,9190.28,9207.45,9156.79,9164.27
01-Mar-17,9191.12,9243.47,9186.8,9230.04
02-Mar-17,9269.67,9276.45,9155.21,9172.16
03-Mar-17,9171.64,9181.4,9132.84,9172.76
06-Mar-17,9179.55,9244.95,9179.55,9238.4
07-Mar-17,9253.3,9254.82,9214.41,9228.44
08-Mar-17,9235.14,9239.9,9175.47,9206.73
09-Mar-17,9209.42,9230.94,9184.81,9211.15
10-Mar-17,9234.84,9262.26,9190.05,9217.41
14-Mar-17,9369.69,9409.43,9347.12,9378.76
15-Mar-17,9384.22,9398.22,9360.25,9371.35
16-Mar-17,9404.55,9449.14,9404.31,9442.37
17-Mar-17,9489.45,9511.08,9443.9,9456.19
20-Mar-17,9471.12,9483.07,9417.3,9430.42
21-Mar-17,9436.88,9449.79,9386.25,9420.73
